EXTRACTO,TEMATICA
"De las Cortes Valencianas, sobre Resolución de apoyo al dictamen del Comité de las Regiones de la Unión Europea en relación con la escasez de agua y la sequía en la Unión Europea.",MEDIO AMBIENTE
"Plan de choque contra el maltrato animal.",MEDIO AMBIENTE
"Respuesta a la repulsa ciudadana en contra del maltrato animal, dirigida al Gobierno.",MEDIO AMBIENTE
"Conservación de los árboles monumentales y singulares, dirigida a la Sra. Consejera de Política Territorial, Sostenibilidad y Seguridad.",MEDIO AMBIENTE
"Reposición de árboles en Arucas, dirigida al Sr. Consejero de Infraestructuras, Transportes y Vivienda.",MEDIO AMBIENTE
"La protección de los bosques subtropicales ante la amenaza del cambio climático, dirigida al Gobierno.",MEDIO AMBIENTE
"Medidas de protección de la Montaña de Tindaya",MEDIO AMBIENTE
"Un plan regional de limpieza de montes y corta fuegos por medio de cabañas de ganado en pastoreo.",MEDIO AMBIENTE
"Ordenación de los Barrancos de Güímar y restauración de ese espacio.",MEDIO AMBIENTE
"Transferencias del Covenio con el Ministerio de Medio Ambiente, y Medio Rural y Marino en materia de restauración hidrológico-forestal.",MEDIO AMBIENTE
"Vertederos ilegales con proyecto de restauración en 2015, dirigida al Gobierno.",MEDIO AMBIENTE
"Del Cabildo Insular de Tenerife, sobre la restauración ambiental y paisajística de los Barrancos de Güímar.",MEDIO AMBIENTE
"Registro de animales potencialmente peligrosos en Lanzarote.",MEDIO AMBIENTE
"Regulación de la tenencia de animales potencialmente peligrosos.",MEDIO AMBIENTE
"Entrada de especies animales exóticas, dirigida al Gobierno.",MEDIO AMBIENTE
"La protección de los animales.",MEDIO AMBIENTE
"La legislación relacionada con el trato a los animales.",MEDIO AMBIENTE
"Censos de animales peligrosos y de mascotas.",MEDIO AMBIENTE
"Las medidas mínimas de seguridad y protección de las playas.",MEDIO AMBIENTE
"Seguridad y protección en las playas y zonas de baños naturales.",MEDIO AMBIENTE
"La invasión de medusas en las playas, dirigida al Gobierno.",MEDIO AMBIENTE
"Conservación y mejora de las playas frente a los procesos de erosión.",MEDIO AMBIENTE
"Conservación de los Espacios Naturales de El Hierro, dirigida a la Sra. Consejera de Política Territorial, Sostenibilidad y Seguridad.",MEDIO AMBIENTE
"Investigación, conservación y difusión en materia de arqueología, dirigida a la Sra. Consejera de Turismo, Cultura y Deportes.",MEDIO AMBIENTE
"Conservación de los Espacios Naturales de Gran Canaria, dirigida a la Sra. Consejera de Política Territorial, Sostenibilidad y Seguridad.",MEDIO AMBIENTE
"Conservación de los Espacios Naturales de Lanzarote, dirigida a la Sra. Consejera de Política Territorial, Sostenibilidad y Seguridad.",MEDIO AMBIENTE
"Las normas de conservación del monumento natural de Los Volcanes de Aridane, dirigida a la Sra. Consejera de Política Territorial, Sostenibilidad y Seguridad.",MEDIO AMBIENTE
"-Consejera de Política Territorial, Sostenibilidad y Seguridad-, sobre sostenibilidad y conservación de los Parques Nacionales.",MEDIO AMBIENTE
"Conservación y restauración del patrimonio histórico de Gran Canaria en 2007-2011.",MEDIO AMBIENTE
"Plan de Conservación del Guirre, dirigida al Sr. Consejero de Educación, Universidades y Sostenibilidad.",MEDIO AMBIENTE
"Programa de conservación de espacios naturales.",MEDIO AMBIENTE
"El Programa de Restauración y Conservación del Entorno Natural de las Islas.",MEDIO AMBIENTE
"Informe medioambiental del refugio pesquero de El Pris, en Tacoronte.",MEDIO AMBIENTE
"Informes de impacto medioambiental de las jaulas marinas en Canarias.",MEDIO AMBIENTE
"El Plan de Acción Medioambiental 1995.",MEDIO AMBIENTE
"La situación medioambiental de la isla de Lobos, dirigida a la señora Consejera de Política Territorial y Medio Ambiente.",MEDIO AMBIENTE
"La ejecución de los proyectos denominados "Actuaciones Medioambientales en cada una de las islas del Archipiélago".",MEDIO AMBIENTE
"Propuestas y acciones encaminadas a abordar el problema que afronta la sanidad pública en España.",ASUNTOS SOCIALES
"Estado de la situación del personal docente de religión en Canarias.",ASUNTOS SOCIALES
"Del Ayuntamiento de Teror, sobre la migración en Canarias.",ASUNTOS SOCIALES
"Bonificaciones y exenciones a las familias numerosas.",ASUNTOS SOCIALES
"La crisis institucional provocada por el secesionismo o declaración unilateral de independencia catalana, dirigida al Sr. Presidente del Gobierno.",ASUNTOS SOCIALES
"Solicitud al Gobierno del Estado en relación con la crisis migratoria.",ASUNTOS SOCIALES
"Ejecución del convenio firmado con el Estado en 2017 para proyectos contra la pobreza infantil, emergencia social,alquiler social y las ONG.",ASUNTOS SOCIALES
"Ejecución de la partida presupuestaria destinada al Plan de Pobreza e Inclusión Social.",ASUNTOS SOCIALES
"Medidas para combatir la pobreza y la desigualdad educativa, dirigida a la Sra. consejera de Educación, Universidades, Cultura y Deportes.",ASUNTOS SOCIALES
"Del Ayuntamiento de Tegueste, sobre medidas de prevención ante la ludopatía y de proliferación de las casas de juego y las apuestas on line.",ASUNTOS SOCIALES
"La tramitación y renovación del título de familia numerosa, dirigida a la Sra. consejera de Derechos Sociales, Igualdad, Diversidad y Juventud.",ASUNTOS SOCIALES
"Medidas para reducir el número de embarazos no deseados, dirigida al Sr. consejero de Sanidad.",ASUNTOS SOCIALES
"Ampliar el número de inspectores de salud pública de Canarias, dirigida a la Sra. consejera de Sanidad.",ASUNTOS SOCIALES
"Número de positivos en COVID-19 en centros sociosanitarios de atención a mayores, dirigida a la Sra. consejera de Derechos Sociales, Igualdad, Diversidad y Juventud.",ASUNTOS SOCIALES
"Del Cabildo Insular de Tenerife, con motivo del 8 de marzo, Día Internacional de las Mujeres.",ASUNTOS SOCIALES
"De la Sra. consejera de Derechos Sociales, Igualdad, Diversidad y Juventud, sobre el estudio Impacto de género de la crisis de la COVID-19. Incidencia sobre las mujeres víctimas de violencia de género.",ASUNTOS SOCIALES
"Menores en acogimiento familiar de 1998 a 2008, dirigida a la Sra. Consejera de Bienestar Social, Juventud y Vivienda.",ASUNTOS SOCIALES
"Tarjetas sanitarias por cupo de medicina familiar y pediatría.",ASUNTOS SOCIALES
"De trabajadoras del Centro de Educación Especial La Casita, sobre su situación de desigualdad salarial.",ASUNTOS SOCIALES
"Medidas para combatir la pobreza y la desigualdad educativa, dirigida a la Sra. consejera de Educación, Universidades, Cultura y Deportes.",ASUNTOS SOCIALES
"Ejecución de la partida presupuestaria destinada al Plan de Pobreza e Inclusión Social.",ASUNTOS SOCIALES
"Usuarios atendidos por el Plan Concertado en Servicios Sociales en 2015 y 2016.",ASUNTOS SOCIALES
"Mejora de infraestructuras para atención de salud mental y centros especializados en atención a demencias y alzhéimer.",ASUNTOS SOCIALES
"Medidas adoptadas y número de personas beneficiarias del reparto de mascarillas para garantizar la salud de los colectivos más vulnerables.",ASUNTOS SOCIALES
"El informe de la percepción social de la Prostitución de Mujeres y el análisis de la demanda prostitucional en Canarias 2017.",ASUNTOS SOCIALES
"Maltrato de parejas del mismo sexo, dirigida al Sr. Consejero de Presidencia, Justicia e Igualdad.",ASUNTOS SOCIALES
"Detección de situaciones de riesgo y maltrato infantil.",ASUNTOS SOCIALES
"Edades de los menores que sufren maltrato infantil en Canarias.",ASUNTOS SOCIALES
"Denuncias presentadas por profesores ante acoso, violencia o maltrato por alumnos.",ASUNTOS SOCIALES
"Plan para la igualdad de género en el sistema educativo.",ASUNTOS SOCIALES
"Propuestas a los Cabildos Insulares y a los Ayuntamientos para la constitución de Consejos de participación en materia de igualdad de género.",ASUNTOS SOCIALES
"Retrasos producidos en la detección de la enfermedad de cáncer producidos por la pandemia.",ASUNTOS SOCIALES
"Acciones desarrolladas en materia de salud pública con motivo de la pandemia de Covid-19, así como las implementadas como consecuencia de la aparición de la variante ómicron en la Comunicad Canaria.",ASUNTOS SOCIALES
"Convenios de cooperación con los ayuntamientos en 2018 para la ejecución de las prestaciones básicas de servicios sociales.",ASUNTOS SOCIALES
"Acceso a las ayudas sociales en relación con la violencia de género, dirigida al Sr. Consejero de Presidencia, Justicia e Igualdad.",ASUNTOS SOCIALES
"Redacción de la ley de igualdad LGTBI en Canarias y previsiones de su aprobación, dirigida a la Sra. consejera de Derechos Sociales, Igualdad, Diversidad y Juventud.",ASUNTOS SOCIALES
"Rechazo ante cualquier tipo de homofobia y repulsa ante el crecimiento de agresiones por LGTBIfobia.",ASUNTOS SOCIALES
"Del Ayuntamiento de Arucas, sobre Declaración Institucional con motivo del aumento de las agresiones LGTBIfóbicas ligadas a discursos de odio.",ASUNTOS SOCIALES
"Iniciativas de la Comisión Europea en relación con la discriminación, acoso o agresiones que padece la población LGTB.",ASUNTOS SOCIALES
"Actuaciones frente al VIH, el sida, las ITS, el estigma y la discriminación.",ASUNTOS SOCIALES
"De la Sra. consejera de Derechos Sociales, Igualdad, Diversidad y Juventud, sobre el plan para la reducción de la tasa de pobreza.",ASUNTOS SOCIALES
"De la Sra. consejera de Derechos Sociales, Igualdad, Diversidad y Juventud, sobre las familias monoparentales y el riesgo de pobreza y exclusión.",ASUNTOS SOCIALES
"De la Sra. consejera de Derechos Sociales, Igualdad, Diversidad y Juventud, sobre subvenciones a entidades sociales que aborden la pobreza e inclusión social.",ASUNTOS SOCIALES
"Plan contra la Pobreza.",ASUNTOS SOCIALES
"Estrategia para la lucha contra la pobreza y la exclusión social.",ASUNTOS SOCIALES
"Plan de Choque contra la Pobreza y la Exclusión Social en Canarias.",ASUNTOS SOCIALES
"Los embarazos no deseados en adolescentes, dirigida a la Sra. Consejera de Empleo y Asuntos Sociales.",ASUNTOS SOCIALES
"Prevención de embarazos en adolescentes, dirigida a la Sra. Consejera de Sanidad.",ASUNTOS SOCIALES
"La erradicación de la LGTBIfobia en el ámbito deportivo.",ASUNTOS SOCIALES
"La erradicación del acoso LGTBIfóbico en el ámbito escolar.",ASUNTOS SOCIALES
"De periodista y experta en igualdad, sobre la violencia de género y violencia vicaria.",ASUNTOS SOCIALES
"Del Ayuntamiento de Garafía, sobre la eliminación de la violencia de género en Canarias.",ASUNTOS SOCIALES
"Plan de seguridad para mujeres víctimas de violencia de género.",ASUNTOS SOCIALES
"Programa de Igualdad de Oportunidades entre sexos.",ASUNTOS SOCIALES
"Plan Canario de Igualdad de Oportunidades 2003-2005. ",ASUNTOS SOCIALES
"Del Sr. Consejero de Economía, Industria, Comercio y Conocimiento, sobre la próxima convocatoria de ayudas para la instalación de una nueva potencia de energía eólica.",ENERGIA
"La posición sobre el planteamiento de la Unión Europea de considerar si son o no, la energía nuclear y el gas, energías verdes, dirigida al Sr. consejero de Transición Ecológica, Lucha contra el Cambio Climático y Planificación Territorial.",ENERGIA
"La compensación a la producción de energía eléctrica en Canarias, dirigida al señor Consejero de Industria y Comercio.",ENERGIA
"De la Sra. consejera de Turismo, Industria y Comercio, sobre el concurso público de prospecciones mineras para buscar fuentes de energía sostenible.",ENERGIA
"Puesta en funcionamiento de equipo de generación de energía eléctrica en Fuerteventura, dirigida al Sr. Consejero de Industria, Comercio y Nuevas Tecnologías.",ENERGIA
"Cortes de suministro de energía eléctrica.",ENERGIA
"Plan de Energías Renovables.",ENERGIA
"Instalación de energía solar térmica en Tenerife.",ENERGIA
"Implantación del gas natural como fuente alternativa de energía.",ENERGIA
"Contra el Real Decreto-ley 12/2021, de 24 de junio, por el que se adoptan medidas urgentes en el ámbito de la fiscalidad energética y en materia de generación de energía, y sobre gestión del canon de regulación y de la tarifa de utilización del agua.",ENERGIA
"Del Gobierno, sobre los criterios, plazos y presupuesto para asignar los nuevos 150 MW de energía fotovoltaica en las islas por parte del IDAE y el Gobierno de Canarias.",ENERGIA
"La potencia total de energía eólica y fotovoltaica, dirigida al Sr. consejero de Transición Ecológica, Lucha contra el Cambio Climático y Planificación Territorial.",ENERGIA
"Previsión del Plan de Transición Energética para el almacenamiento de la energía en Fuerteventura, dirigida al Sr. consejero de Transición Ecológica, Lucha contra el Cambio Climático y Planificación Territorial.",ENERGIA
"Previsiones respecto al aumento de la demanda de energía eléctrica en las islas de Lanzarote y Fuerteventura para los próximos diez años.",ENERGIA
"Acciones ante UNELCO respecto del aumento de la demanda de energía eléctrica.",ENERGIA
"El Proyecto de Energía Alternativa elaborado desde el ITC para Tan-Tan, dirigida al Gobierno.",ENERGIA
"Cortes de suministro de energía eléctrica en Tenerife, dirigida al Gobierno.",ENERGIA
"Construcción de edificios aptos para la utilización de energía solar.",ENERGIA
"Política en materia de Energía Eólica.",ENERGIA
"Energía solar térmica.",ENERGIA
"Instalaciones para la producción, generación y almacenamiento de energías renovables.",ENERGIA
"Condiciones de la convocatoria de ayudas para la instalación de una nueva potencia de energía eólica, dirigida al Sr. Consejero de Economía, Industria, Comercio y Conocimiento.",ENERGIA
"Actuaciones para aumentar la presencia de energías renovables en La Gomera, dirigida al Sr. Consejero de Economía, Industria, Comercio y Conocimiento.",ENERGIA
"El cupo de 450 MW de energía eólica, dirigida al Sr. Consejero de Economía, Industria, Comercio y Conocimiento.",ENERGIA
"-Gobierno-, sobre participación en campaña internacional contra las prospecciones petroleras.",ENERGIA
"Potencia eléctrica de origen renovable a 31 de diciembre de 2017.",ENERGIA
"Concesión de potencia fotovoltaica desestimada.",ENERGIA
"Número de megavatios de energía renovable que suponen los proyectos en trámite, por islas.",ENERGIA
"Relación de megavatios instalados según UNELCO-ENDESA y Red Eléctrica.",ENERGIA
"Previsión de instalación de nuevos megavatios de potencia eólica, dirigida al Sr. Consejero de Economía, Industria, Comercio y Conocimiento.",ENERGIA
"El potencial de la energía geotérmica en La Palma, dirigida al Sr. Consejero de Economía, Industria, Comercio y Conocimiento.",ENERGIA
"Potencial de energía renovable, dirigida a la Sra. Consejera de Empleo, Industria y Comercio.",ENERGIA
"La potencialidad de la energía solar y las acciones para su desarrollo.",ENERGIA
"Actividad de las instalaciones de venta al público al por menor de gasolinas y gasóleos de automoción.",ENERGIA
"Concesión de licencia para estación de servicios de gasolina en el Paseo de Las Ramblas, Jinámar, Gran Canaria.",ENERGIA
"El uso de la gasolina sin plomo 98 octanos en La Palma, dirigida al Gobierno.",ENERGIA
"Excepción del Impuesto Especial sobre combustibles derivados del petróleo en el tramo actual en gasolina y gasóleo para El Hierro, La Gomera y La Palma.",ENERGIA
"Solicitud de una ley de inversión anual en energías limpias, y la formación profesional en energías maremotriz, undimotriz y geotérmica.",ENERGIA
"Inconvenientes existentes para el desarrollo de la energía geotérmica en Canarias y sus posibles soluciones.",ENERGIA
"Conclusiones de la Mesa de la Energía Geotérmica que afecten a Canarias, dirigida al Sr. Consejero de Economía, Industria, Comercio y Conocimiento.",ENERGIA
"Energía de fuentes renovables, dirigida al Sr. Consejero de Economía, Industria, Comercio y Conocimiento.",ENERGIA
"La propuesta de marco singular retributivo para la producción de energía con fuentes renovables, dirigida a la Sra. Consejera de Empleo, Industria y Comercio.",ENERGIA
"Incremento de la producción de energía de fuentes renovables, dirigida a la Sra. Consejera de Empleo, Industria y Comercio.",ENERGIA
"La energía hidroeólica a producir en El Hierro, dirigida a la Sra. Consejera de Empleo, Industria y Comercio.",ENERGIA
"La Central Hidroeólica de Gorona del Viento, El Hierro.",ENERGIA
"El contrato Mantenimiento, conservación y explotación de la Central Hidroeólica de la isla de El Hierro.",ENERGIA
"Diversificación de las fuentes energéticas, dirigida al Gobierno. ",ENERGIA
"El autoabastecimiento de la demanda energética desde fuentes renovables y la transformación y abastecimiento de parte de las energías renovables, dirigida al Sr. Consejero de Economía, Industria, Comercio y Conocimiento.",ENERGIA
"Propuesta de revisión del Plan Energético de Canarias PECAN.",ENERGIA
"Consumo energético en Gran Canaria y Tenerife.",ENERGIA
"Estrategia de almacenamiento energético en Canarias.",ENERGIA
"Ejecución del Plan Energético de Canarias (PCAN), dirigida al Gobierno.",ENERGIA
"Plan Energético de Canarias.",ENERGIA
"Consumo energético en Fuerteventura desde 1998.",ENERGIA
"Consumo energético en Gran Canaria y Tenerife.",ENERGIA
"Del Sr. consejero de Obras Públicas, Transportes y Vivienda, sobre el estado de los trámites para implantar una línea marítima de obligación de servicio público entre La Gomera, La Palma y El Hierro.",TRANSPORTE
"Del Sr. consejero de Obras Públicas, Transportes y Vivienda, sobre la política del transporte aéreo en Canarias.",TRANSPORTE
"Del Sr. consejero de Obras Públicas, Transportes y Vivienda, sobre el alcance del Protocolo de Colaboración con el Ministerio de Transportes, Movilidad y Agenda Urbana, para la coordinación de la medidas de ayudas transitorias al transporte público regular colectivo terrestre.",TRANSPORTE
"Autorización de gasto para la concesión de las aportaciones dinerarias a los cabildos insulares de Gran Canaria y de Tenerife, destinadas a financiar la política de movilidad del transporte terrestre público regular de viajeros en dichas islas.",TRANSPORTE
"Fechas de inicio de actividad de las embarcaciones de transporte de personas en Fuerteventura.",TRANSPORTE
"La subida de los billetes de las navieras Fred Olsen y Trasmediterránea, dirigida al Sr. Consejero de Infraestructuras, Transporte y Vivienda.",TRANSPORTE
"Las obligaciones de Servicio Público en el Transporte Aéreo.",TRANSPORTE
"El transporte aéreo interinsular.",TRANSPORTE
"De modificación de la Ley 13/2007, de 17 de mayo, de Ordenación del Transporte por Carretera de Canarias.",TRANSPORTE
"Estado del borrador del anteproyecto que modificará la Ley 13/2007, de 17 de mayo, de Ordenación del Transporte por Carretera de Canarias.",TRANSPORTE
"Las obras de mejora en la carretera LP-1 entre Los Llanos de Aridane y Tijarafe, dirigida al Sr. Vicepresidente del Gobierno y Consejero de Obras Públicas y Transportes.",TRANSPORTE
"Convenio de Carreteras.",TRANSPORTE
"El Convenio de colaboración con el Cabildo de Fuerteventura, 2007-2008, de Transporte regular de Viajeros por carretera e infraestructuras de transporte.",TRANSPORTE
"Ejecución del Plan de Carreteras en Tenerife.",TRANSPORTE
"Coches parados con el motor en marcha de manera recurrente y dolosa.",TRANSPORTE
"Puntos de recarga para coches eléctricos e híbridos, dirigida a la Sra. Consejera de Empleo, Industria y Comercio.",TRANSPORTE
"Adquisición de material coches patrulla y otros para el Cuerpo General de la Policía Canaria.",TRANSPORTE
"El colapso de tráfico en Los Cristianos por la llegada y salida de los barcos de transporte de pasajeros y vehículos que provienen de La Gomera, La Palma y El Hierro, dirigida al Sr. consejero de Obras Públicas, Transportes y Vivienda.",TRANSPORTE
"Pasajeros en avión a La Gomera, dirigida al Sr. Consejero de Obras Públicas, Transportes y Política Territorial.",TRANSPORTE
"La empresa pública de transporte urbano Guaguas Municipales de Las Palmas de Gran Canaria.",TRANSPORTE
"La no puesta en funcionamiento de la Estación de Guaguas de Arrecife.",TRANSPORTE
"La gratuidad de guaguas y tranvía para 2023, dirigida a la Presidencia del Gobierno.",TRANSPORTE
"Dación de cuenta del convenio celebrado con el Cabildo Insular de Gran Canaria para la ejecución de obras de mejora de accesos viales de paradas de autobuses.",TRANSPORTE
"La prestación del servicio público de transporte escolar.",TRANSPORTE
"El servicio público de transporte colectivo de viajeros en Lanzarote.",TRANSPORTE
"El tranvía o metro ligero en Tenerife.",TRANSPORTE
"Trazado del tranvía de Tenerife hasta el Aeropuerto de Los Rodeos.",TRANSPORTE
"Tráfico aéreo en el aeropuerto de Lanzarote en 2017.",TRANSPORTE
"Tráfico de pasajeros y vehículos por cada uno de los puertos de la red de Puertos Canarios, de los años 2015 a 2018.",TRANSPORTE
"Adaptación de las vías públicas al tráfico ciclista.",TRANSPORTE
"Problema viario en Icod de los Vinos.",TRANSPORTE
"Seguridad vial en las obras de la TF-5, tramo Santa Cruz de Tenerife - La Laguna.",TRANSPORTE
"Aplicación de la Directiva Europea que regula el procedimiento de medición de la eficacia de frenado en camiones y guaguas, dirigida a la Sra. Consejera de Empleo, Industria y Comercio.",TRANSPORTE
"Helicópteros medicalizados o de soporte vital avanzado con base o prestación de servicio en La Palma, dirigida al Sr. consejero de Sanidad.",TRANSPORTE
"Base permanente de helicópteros kamov en Canarias.",TRANSPORTE
"El helicóptero del GIE en La Palma, dirigida al Gobierno.",TRANSPORTE
"Kilómetros de autovía y autopista en uso, dirigida al Sr. Consejero de Obras Públicas, Transportes y Política Territorial.",TRANSPORTE
"Acciones para tener una movilidad más sostenible, dirigida al Sr. Vicepresidente del Gobierno y Consejero de Obras Públicas y Transportes.",TRANSPORTE
"Medidas para resolver el actual problema de colapso en la TF-1 y TF-5, dirigida al Sr. Consejero de Obras Públicas y Transportes.",TRANSPORTE
"Del Sr. consejero de Obras Públicas, Transportes y Vivienda, sobre las actuaciones para acabar con los atascos en la TF-5",TRANSPORTE
"Los portabicicletas exteriores instalados desde 2016, dirigida al Sr. Consejero de Obras Públicas y Transportes. ",TRANSPORTE
"Proyectos para disponer de carriles para bicicletas, dirigida al Sr. Consejero de Obras Públicas, Vivienda y Aguas.",TRANSPORTE
"Disposición de carriles para bicicletas, dirigida al Sr. Consejero de Obras Públicas, Vivienda y Aguas.",TRANSPORTE
"Adaptación de las vías públicas al tráfico ciclista.",TRANSPORTE
"Construcción de arcén para peatones y ciclistas en las nuevas vías interurbanas.",TRANSPORTE
"El puente peatonal sobre la TF-5, Barrio de Chamberí, Santa Cruz de Tenerife.",TRANSPORTE
"Proyectos redactados y pendientes de licitar para la peatonalización de vías públicas en Canarias, con desglose por islas.",TRANSPORTE
"Proyectos pendientes de redactar para la peatonalización de vías públicas en Canarias, con desglose por islas.",TRANSPORTE
"Proyecto para solucionar el colapso circulatorio de la TF-5, dirigida al Gobierno.",TRANSPORTE
"El tramo Los Realejos-Icod de Los Vinos de la Autopista del norte de Tenerife (TF-5).",TRANSPORTE
"Requisitos de accesibilidad de las guaguas.",TRANSPORTE
"Plan de viabilidad sobre guaguas municipales de Las Palmas de Gran Canaria.",TRANSPORTE
"Líneas de transporte de guaguas para las conexiones del Sur de Tenerife, dirigida a la Sra. Consejera de Obras Públicas y Transportes.",TRANSPORTE
"Proyectos TF-1, Tenerife.",TRANSPORTE
"Proyectos redactados relativos a la TF-5.",TRANSPORTE
"Documento de disposición de pago de estudio de impacto de pesca recreativa submarina Fase I.",AGRICULTURA; SILVICULTURA Y PESCA
"Expedientes sancionadores incoados a pescadores profesionales.",AGRICULTURA; SILVICULTURA Y PESCA
"Informe de impacto de pesca recreativa submarina Fase II.",AGRICULTURA; SILVICULTURA Y PESCA
"Zonas habilitadas para la práctica deportiva de la pesca submarina.",AGRICULTURA; SILVICULTURA Y PESCA
"Estudios e informes en relación a la pesca submarina.",AGRICULTURA; SILVICULTURA Y PESCA
"La pesca mediante nasa.",AGRICULTURA; SILVICULTURA Y PESCA
"Los cuestionarios que cumplimentan los pescadores recreativos y profesionales.",AGRICULTURA; SILVICULTURA Y PESCA
"Volumen de capturas de primera venta por Cofradías de pescadores desde 2005.",AGRICULTURA; SILVICULTURA Y PESCA
"La normativa que regula la utilización de las grúas por concesión de las cofradías de pescadores.",AGRICULTURA; SILVICULTURA Y PESCA
"Colaboración con los concursos de pesca, dirigida al Gobierno.",AGRICULTURA; SILVICULTURA Y PESCA
"Programas de ayuda a los agricultores.",AGRICULTURA; SILVICULTURA Y PESCA
"Reuniones con los agricultores del sector platanero, dirigida al Sr. Consejero de Agricultura, Ganadería, Pesca y Aguas.",AGRICULTURA; SILVICULTURA Y PESCA
"Pagos a agricultores y ganaderos con cargo al POSEI.",AGRICULTURA; SILVICULTURA Y PESCA
"Compensación a los agricultores afectados por la polilla de la papa.",AGRICULTURA; SILVICULTURA Y PESCA
"Efectos en los agricultores profesionales de la Orden relativa a la Modernización de las Explotaciones Agrarias.",AGRICULTURA; SILVICULTURA Y PESCA
"Los convenios con los Cabildos Insulares para ayuda a los agricultores afectados por la sequía.",AGRICULTURA; SILVICULTURA Y PESCA
"Acuerdo plenario (9-2-98) relativo a la defensa de los intereses de los agricultores del olivar español ante la Unión Europea.",AGRICULTURA; SILVICULTURA Y PESCA
"La recogida de pesticidas, plásticos de invernaderos y otros residuos agrícolas.",AGRICULTURA; SILVICULTURA Y PESCA
"Ayudas a los sectores ganaderos y agrícolas de Lanzarote, dirigida al Gobierno.",AGRICULTURA; SILVICULTURA Y PESCA
"Política agrícola común europea.",AGRICULTURA; SILVICULTURA Y PESCA
"Reducción de la siniestralidad laboral en el sector agrícola.",AGRICULTURA; SILVICULTURA Y PESCA
"Operadores-productores agrícolas ecológicos en Lanzarote.",AGRICULTURA; SILVICULTURA Y PESCA
"Propuesta que modifica el Reglamento (UE) 2018/841 en lo relativo al ámbito de aplicación, la simplificación de las normas de cumplimiento, el establecimiento de los objetivos de los Estados miembros para 2030 y el compromiso con la consecución colectiva de la neutralidad climática para 2035 en el sector del uso de la tierra, la silvicultura y la agricultura, y el Reglamento (UE) 2018/199.",AGRICULTURA; SILVICULTURA Y PESCA
"Restricción de los cultivos transgénicos, dirigida al Sr. Consejero de Agricultura, Ganadería, Pesca y Aguas.",AGRICULTURA; SILVICULTURA Y PESCA
"Situación del cultivo del plátano y sus productores, dirigida al Sr. Consejero de Agricultura, Ganadería, Pesca y Aguas.",AGRICULTURA; SILVICULTURA Y PESCA
"Del Sr. Consejero de Agricultura, Ganadería, Pesca y Aguas, sobre el cultivo del tomate.",AGRICULTURA; SILVICULTURA Y PESCA
"Hectáreas dedicadas a cultivos y agricultura ecológica, dirigida al Sr. Consejero de Agricultura, Ganadería, Pesca y Aguas.",AGRICULTURA; SILVICULTURA Y PESCA
"Peso del sector de cultivos forrajeros en el sector agrícola, dirigida al Sr. Consejero de Agricultura, Ganadería, Pesca y Aguas.",AGRICULTURA; SILVICULTURA Y PESCA
"Prevención y erradicación de las plagas que afectan al cultivo de la papa.",AGRICULTURA; SILVICULTURA Y PESCA
"La situación actual del cultivo de cebolla en la isla de Lanzarote.",AGRICULTURA; SILVICULTURA Y PESCA
"El cultivo de variedades tradicionales de las islas de Lanzarote y Fuerteventura.",AGRICULTURA; SILVICULTURA Y PESCA
"El cultivo del almendro en Canarias.",AGRICULTURA; SILVICULTURA Y PESCA
"El Plan Forestal de Canarias.",AGRICULTURA; SILVICULTURA Y PESCA
"El expediente de la brigada forestal, dirigida a la Sra. Consejera de Política Territorial, Sostenibilidad y Seguridad.",AGRICULTURA; SILVICULTURA Y PESCA
"Aumento de superficie forestal, dirigida a la Sra. Consejera de Política Territorial, Sostenibilidad y Seguridad.",AGRICULTURA; SILVICULTURA Y PESCA
"Actuaciones en materia de Planes Forestales, dirigida a la Sra. Consejera de Política Territorial, Sostenibilidad y Seguridad.",AGRICULTURA; SILVICULTURA Y PESCA
"Nuevas medidas en el marco del Plan de prevención y protección contra incendios forestales, dirigida al Gobierno.",AGRICULTURA; SILVICULTURA Y PESCA
"Fomento de la agricultura en el suelo aledaño a zonas forestales, dirigida al Sr. Consejero de Agricultura, Ganadería, Pesca y Aguas.",AGRICULTURA; SILVICULTURA Y PESCA
"Resoluciones sancionadoras en materia de ganadería, período 2000-2015.",AGRICULTURA; SILVICULTURA Y PESCA
"Medidas para dignificar el sector de los cabreros y el pastoreo, dirigida al Sr. Consejero de Agricultura, Ganadería, Pesca y Aguas.",AGRICULTURA; SILVICULTURA Y PESCA
"Plantaciones registradas en el Consejo Regulador de Agricultura Ecológica, dirigida al Gobierno.",AGRICULTURA; SILVICULTURA Y PESCA
"La plaga de polilla guatemalteca en las plantaciones de papas en Gran Canaria, dirigida al Sr. Consejero de Agricultura, Ganadería, Pesca y Alimentación.",AGRICULTURA; SILVICULTURA Y PESCA
"Control de plaguicidas utilizados en cultivos, dirigida al Sr. Consejero de Medio Ambiente y Ordenación Territorial.",AGRICULTURA; SILVICULTURA Y PESCA
"El uso de plaguicidas para cultivos, dirigida a la Sra. Consejera de Agricultura, Ganadería, Pesca y Alimentación.",AGRICULTURA; SILVICULTURA Y PESCA
"Capturas de primera venta por cofradías de pescadores.",AGRICULTURA; SILVICULTURA Y PESCA
"Estudio relativo al impacto de la pesca submarina de recreo.",AGRICULTURA; SILVICULTURA Y PESCA
"Volumen de capturas de primera venta por Cofradías de pescadores desde 2005.",AGRICULTURA; SILVICULTURA Y PESCA
